spec	imslit	run	t	wa	islit	ij	s
spm243-244_bcrx	spm242_bcr	2004-06	120	1	275.0	1	1
spm252_bcrx	spm251_bcr	2004-06	120	1	280.0	1	1
spm257_bcrx	spm256_bcr	2004-06	120	1	285.0	1	1
spm244_bcrx	spm242_bcr	2004-06	1800	1	275.0	1	1
spm253_bcrx	spm251_bcr	2004-06	1800	1	280.0	1	1
spm258_bcrx	spm256_bcr	2004-06	1800	1	285.0	1	1
spm294_bcrx_oiii	spm293_bcr	2004-06	1800	1	262.0	1	1
spm297_bcrx	spm296_bcr	2004-06	1800	1	265.0	1	1
spm114_bcrx_oiii	spm116-2_bcr	2011-05	600	2	532.0	2	1
spm0033_bcrx_oiii	spm0035o_b	2015-08	900	2	485.0	2	1
spm0039_bcrx_oiii	spm0041o_b	2015-08	900	2	482.0	2	1
spm0045o_bcrx	spm0047o_b	2015-08	900	2	479.0	2	1
spm0051_bcrx_oiii	spm0053o_b	2015-08	900	2	476.0	2	1
spm0059_oiii	spm0061o_b	2015-08	900	1	475.0	2	-1
spm0112_bcrx_oiii	spm0114o_b	2015-08	1200	2	486.0	2	1
spm0118_bcrx_oiii	spm0120o_b	2015-08	1800	2	479.5	2	1
spm0126_bcrx_oiii	spm0128o_b	2015-08	1200	2	476.5	2	1
spm0175o_bcrx	spm0177o_b	2015-08	900	2	489.5	2	1
spm0181_bcrx_oiii	spm0183o_b	2015-08	1800	2	482.0	2	1
spm0188_oiii	spm0190o_b	2015-08	1800	1	512.0	2	-1
