id	spec	islit	j0_s	j0_i	shift
0	spm243-244_bcrx	275.0	368	316	52
1	spm252_bcrx	280.0	363	308	55
2	spm257_bcrx	285.0	329	271	58
3	spm244_bcrx	275.0	355	304	51
4	spm253_bcrx	280.0	360	304	56
5	spm258_bcrx	285.0	330	271	59
6	spm294_bcrx_oiii	262.0	133	238	-105
7	spm297_bcrx	265.0	292	244	48
8	spm114_bcrx_oiii	533.0	81	600	-519
9	spm0033_bcrx_oiii	485.5	200	444	-244
10	spm0039_bcrx_oiii	481.0	197	446	-249
11	spm0045o_bcrx	479.0	323	447	-124
12	spm0051_bcrx_oiii	476.0	196	446	-250
13	spm0059_oiii	475.0	168	418	-250
14	spm0112_bcrx_oiii	486.0	212	532	-320
15	spm0118_bcrx_oiii	482.0	221	548	-327
16	spm0126_bcrx_oiii	476.5	218	541	-323
17	spm0175o_bcrx	489.5	410	529	-119
18	spm0181_bcrx_oiii	480.0	215	536	-321
19	spm0188_oiii	508.0	176	502	-326
