spec	imslit	run	t	wa	islit	ij	s
obj1003_bcrx	obj1002_bcr	1998-06	60	1	390.0	1	1
obj1007_bcrx	obj1006_bcr	1998-06	300	1	388.0	1	1
obj1010_bcrx	obj1009_bcr	1998-06	1200	1	388.0	1	1
obj1015_bcrx	obj1012_bcr	1998-06	1200	1	390.5	1	1
obj1018_bcrx	obj1017_bcr	1998-06	1200	1	390.5	1	1
spm112_bcrx	spm110_u	2003-06	1800	1	257.0	1	1
spm116_bcrx	spm115_bcr	2003-06	1800	1	263.0	1	1
spm119_bcrx	spm118_bcr	2003-06	1800	1	265.0	1	1
spm122_bcrx	spm121_bcr	2003-06	1800	1	267.0	1	1
spm125_bcrx	spm124_bcr	2003-06	1800	1	269.5	1	1
spm130_bcrx	spm127_bcr	2003-06	1800	1	272.5	1	1
spm135_bcrx	spm134_bcr	2003-06	1800	1	277.5	1	1
spm224_bcrx	spm223_bcr	2003-10	1800	1	294.5	1	1
spm230_bcrx	spm229_bcr	2003-10	1800	1	294.5	1	1
spm329_bcrx	spm328_bcr	2003-10	1800	1	273.0	1	1
spm112-2_bcrx	spm111_cr	2011-05	1800	2	531.0	2	1
spm018-bcrx	spm017_b	2013-07	1800	1	505.0	2	-1
spm020-bcrx	spm019_b	2013-07	1800	1	483.0	2	-1
spm023-bcrx	spm021_b	2013-07	1800	1	496.0	2	-1
spm0031o_bcrx	spm0030o_b	2015-08	900	2	485.0	2	1
spm0037o_bcrx	spm0036o_b	2015-08	900	2	484.0	2	1
spm0043o_bcrx	spm0042o_b	2015-08	900	2	481.0	2	1
spm0049o_bcrx	spm0048o_b	2015-08	900	2	480.0	2	1
spm0057o_bcrx	spm0056o_b	2015-08	900	2	476.0	2	1
spm0110o_bcrx	spm0109o_b	2015-08	1200	2	490.5	2	1
spm0116o_bcrx	spm0115o_b	2015-08	1800	2	485.5	2	1
spm0124o_bcrx	spm0123o_b	2015-08	1200	2	478.0	2	1
spm0173o_bcrx	spm0172o_b	2015-08	900	2	493.0	2	1
spm0179o_bcrx	spm0178o_b	2015-08	1800	2	489.5	2	1
spm0186o_bcrx	spm0185o_b	2015-08	1800	2	515.5	2	1
